Date,open,high,low,close
2000-09-21,1451.34,1452.77,1436.3,1446.967037900236
2000-09-22,1449.05,1449.05,1421.88,1447.2301663437622
2000-09-25,1448.72,1457.42,1435.93,1437.559198712908
2000-09-26,1439.03,1448.04,1425.25,1428.768088175718
2000-09-27,1427.21,1437.22,1419.44,1428.0510954940987
2000-09-28,1426.57,1461.69,1425.78,1460.242191998032
2000-09-29,1458.29,1458.29,1436.29,1438.0399769498226
2000-10-02,1436.52,1445.6,1429.83,1438.688110558638
2000-10-03,1436.23,1454.82,1425.28,1427.7858154484454
2000-10-04,1426.46,1439.99,1416.31,1433.4412192018888
2000-10-05,1434.32,1444.17,1431.8,1434.8536468878392
2000-10-06,1436.28,1443.3,1397.06,1406.0334523286106
2000-10-09,1408.99,1409.69,1392.48,1399.947037900236
2000-10-10,1402.03,1408.83,1383.85,1385.5301663437622
2000-10-11,1387.02,1387.02,1349.67,1363.119198712908
2000-10-12,1364.59,1374.93,1328.06,1331.338088175718
2000-10-13,1329.78,1374.17,1327.08,1375.6510954940989
2000-10-16,1374.17,1379.48,1365.06,1376.572191998032
2000-10-17,1374.62,1380.99,1342.34,1351.4999769498227
2000-10-18,1349.97,1356.65,1305.79,1344.5881105586382
2000-10-19,1342.13,1389.93,1342.13,1390.0858154484454
2000-10-20,1388.76,1408.47,1382.19,1396.051219201889
2000-10-23,1396.93,1406.96,1387.75,1394.3536468878392
2000-10-24,1395.78,1415.64,1388.13,1395.1734523286107
2000-10-25,1398.13,1398.13,1362.21,1362.817037900236
2000-10-26,1364.9,1372.72,1337.81,1362.9501663437622
2000-10-27,1364.44,1384.57,1364.13,1378.109198712908
2000-10-30,1379.58,1406.36,1376.86,1400.218088175718
2000-10-31,1398.66,1432.22,1398.66,1430.8810954940989
2000-11-01,1429.4,1429.6,1410.45,1423.172191998032
2000-11-02,1421.22,1433.4,1421.22,1429.8499769498226
2000-11-03,1428.32,1433.21,1420.92,1429.148110558638
2000-11-06,1428.76,1438.46,1427.72,1433.5158154484454
2000-11-07,1432.19,1436.22,1423.26,1430.9912192018887
2000-11-08,1431.87,1437.28,1408.78,1407.8536468878392
2000-11-09,1409.28,1409.28,1369.68,1397.1834523286107
2000-11-10,1400.14,1400.14,1365.97,1363.897037900236
2000-11-13,1365.98,1365.98,1328.62,1349.7701663437622
2000-11-14,1351.26,1390.06,1351.26,1381.479198712908
2000-11-15,1382.95,1395.96,1374.75,1391.368088175718
2000-11-16,1389.81,1394.76,1370.39,1373.8010954940987
2000-11-17,1372.32,1384.85,1355.55,1369.672191998032
2000-11-20,1367.72,1367.72,1341.67,1344.1499769498225
2000-11-21,1342.62,1355.87,1333.62,1349.808110558638
2000-11-22,1347.35,1347.35,1321.89,1323.6858154484453
2000-11-24,1322.36,1343.83,1322.36,1340.8912192018888
2000-11-27,1341.77,1362.5,1341.77,1347.5436468878393
2000-11-28,1348.97,1358.81,1334.97,1333.1334523286105
2000-11-29,1336.09,1352.38,1329.28,1339.847037900236
2000-11-30,1341.91,1341.91,1294.9,1313.4601663437622
2000-12-01,1314.95,1334.67,1307.02,1313.759198712908
2000-12-04,1315.18,1332.06,1310.23,1326.528088175718
2000-12-05,1324.97,1376.56,1324.97,1378.0210954940987
2000-12-06,1376.54,1376.54,1346.15,1353.412191998032
2000-12-07,1351.46,1353.5,1339.26,1345.0799769498226
2000-12-08,1343.55,1380.33,1343.55,1372.3481105586382
2000-12-11,1369.89,1389.05,1364.14,1381.5258154484454
2000-12-12,1380.2,1380.27,1370.27,1370.301219201889
2000-12-13,1371.18,1385.82,1358.48,1358.5636468878392
2000-12-14,1359.99,1359.99,1340.48,1337.9734523286106
2000-12-15,1340.93,1340.93,1305.38,1310.067037900236
2000-12-18,1312.15,1332.32,1312.15,1321.2501663437622
2000-12-19,1322.96,1346.44,1305.2,1304.129198712908
2000-12-20,1305.6,1305.6,1261.16,1266.298088175718
2000-12-21,1264.74,1285.31,1254.07,1276.3410954940987
2000-12-22,1274.86,1305.97,1274.86,1307.902191998032
2000-12-26,1305.97,1315.94,1301.64,1316.7199769498227
2000-12-27,1315.19,1332.03,1310.96,1331.3781105586381
2000-12-28,1328.92,1335.93,1325.78,1335.5458154484454
2000-12-29,1334.22,1340.1,1317.51,1319.4012192018888
2001-01-02,1320.28,1320.28,1276.05,1281.8436468878392
2001-01-03,1283.27,1347.76,1274.62,1344.6034523286105
2001-01-04,1347.56,1350.24,1329.14,1331.257037900236
2001-01-05,1333.34,1334.77,1294.95,1296.860166343762
2001-01-08,1298.35,1298.35,1276.29,1294.389198712908
2001-01-09,1295.86,1311.72,1295.14,1302.358088175718
2001-01-10,1300.8,1313.76,1287.28,1314.7510954940988
2001-01-11,1313.27,1332.19,1309.72,1328.772191998032
2001-01-12,1326.82,1333.21,1311.59,1320.0799769498226
